what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.goto.wordNext",1352974841886
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1352974864527
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1352974864604
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1352974874131
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1352974915366
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1352974915485
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1352974918678
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1352974918797
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.goto.lineEnd",1352974930253
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.goto.wordPrevious",1352974930746
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1352974944741
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1352974944784
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.goto.lineEnd",1352974972877
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1352974985264
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1352974995443
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1352974997735
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1352974998165
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1352975111170
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1352975115230
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1352981715108
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1352981812674
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1352981830446
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1352981831930
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1352981952816
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.paste",1352981955617
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.undo",1352981957115
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.paste",1352981963858
executed,command,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.edit.text.java.format",1352981965550
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.delete",1352981975814
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.delete",1352981976545
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1352981988522
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1352982006202
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1352982025818
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1352982031157
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.cut",1352982035539
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1352982038911
activated,editor,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.CompilationUnitEditor",1352982040974
closed,editor,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.CompilationUnitEditor",1352982041479
