what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353021945680
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353021948258
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353021962646
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353021983980
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.goto.wordPrevious",1353021986129
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.goto.wordPrevious",1353021986779
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.select.wordPrevious",1353021992627
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353022006581
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353022029067
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1353022032518
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353022038330
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353022061961
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353022068666
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353022085319
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353022096908
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353022133700
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353022138989
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353022200980
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.goto.wordNext",1353022202958
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.goto.wordNext",1353022203368
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.select.wordNext",1353022203837
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.paste",1353022204615
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353022212448
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353022227633
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.select.wordPrevious",1353022230672
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.delete",1353022243175
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1353022292025
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353022294188
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353022303231
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.goto.lineEnd",1353022308627
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.goto.lineEnd",1353022311794
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.goto.lineEnd",1353022313144
activated,editor,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.CompilationUnitEditor",1353022320981
activated,editor,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.CompilationUnitEditor",1353022323183
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.goto.lineStart",1353022326611
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.select.lineEnd",1353022326942
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.select.lineEnd",1353022329052
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.undo",1353022331726
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.undo",1353022332143
activated,editor,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.CompilationUnitEditor",1353022349222
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.copy",1353022354560
activated,editor,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.CompilationUnitEditor",1353022356089
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.goto.textStart",1353022364761
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.edit.paste",1353022373762
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1353022378233
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353022381223
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353022394801
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353022396887
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353022399746
deactivated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353022510648
activated,workbench,org.eclipse.ui.workbench,3.103.0.v20120530-1824,"",1353022563648
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1353022566117
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.select.lineStart",1353022573746
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1353022579943
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1353022595018
activated,editor,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.CompilationUnitEditor",1353022602391
activated,editor,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.CompilationUnitEditor",1353022608566
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.select.lineEnd",1353022611776
executed,command,org.eclipse.ui,3.103.0.v20120521-2329,"org.eclipse.ui.file.save",1353022619552
activated,editor,org.eclipse.jdt.ui,3.8.0.v20120524-1551,"org.eclipse.jdt.ui.CompilationUnitEditor",1353022620724
executed,command,org.eclipse.ui.workbench.texteditor,3.8.0.v20120523-1310,"org.eclipse.ui.edit.text.select.lineStart",1353022625523
